Name	Capital	Population	Flag	Last Modified
Mauritania	Nouakchott	3365	data\flag.jpg	17.10.2020 12:00:00
Mauritius	Port Louis	1274	data\flag.jpg	17.10.2020 12:00:00
Mayotte	Mamoutzou	2163	data\flag.jpg	17.10.2020 12:00:00
Mexico	Mexico	109955	data\flag.jpg	17.10.2020 12:00:00
Micronesia, Federated States of	Palikir	1077	data\flag.jpg	17.10.2020 12:00:00
Moldova	Chisinau	4324	data\flag.jpg	17.10.2020 12:00:00
Monaco	Monaco	328	data\flag.jpg	17.10.2020 12:00:00
Mongolia	Ulaanbaatar	2996	data\flag.jpg	17.10.2020 12:00:00
Montenegro	Podgorica	6782	data\flag.jpg	17.10.2020 12:00:00
Montserrat	Plymouth ?	964	data\flag.jpg	17.10.2020 12:00:00
Morocco	Rabat	34343	data\flag.jpg	17.10.2020 12:00:00
Mozambique	Maputo	21285	data\flag.jpg	17.10.2020 12:00:00
Namibia	Windhoek	2089	data\flag.jpg	17.10.2020 12:00:00
Nauru	no official capital	138	data\flag.jpg	17.10.2020 12:00:00
Nepal	Kathmandu	29519	data\flag.jpg	17.10.2020 12:00:00
Netherlands	Amsterdam	16645	data\flag.jpg	17.10.2020 12:00:00
Netherlands Antilles	Willemstad	2254	data\flag.jpg	17.10.2020 12:00:00
New Caledonia	Noumea	2248	data\flag.jpg	17.10.2020 12:00:00
New Zealand	Wellington	4173	data\flag.jpg	17.10.2020 12:00:00
Nicaragua	Managua	5786	data\flag.jpg	17.10.2020 12:00:00
Niger	Niamey	13273	data\flag.jpg	17.10.2020 12:00:00
Nigeria	Abuja	138283	data\flag.jpg	17.10.2020 12:00:00
Niue	Alofi	144	data\flag.jpg	17.10.2020 12:00:00
Norfolk Island	Kingston	213	data\flag.jpg	17.10.2020 12:00:00
Northern Mariana Is.	Saipan	866	data\flag.jpg	17.10.2020 12:00:00
Norway	Oslo	4644	data\flag.jpg	17.10.2020 12:00:00
Oman	Muscat	3312	data\flag.jpg	17.10.2020 12:00:00
Pakistan	Islamabad	167762	data\flag.jpg	17.10.2020 12:00:00
Palau	Koror	211	data\flag.jpg	17.10.2020 12:00:00
Palestinian Territories	Ramallah	4149	data\flag.jpg	17.10.2020 12:00:00
Panama	Panama	3293	data\flag.jpg	17.10.2020 12:00:00
Papua New Guinea	Port Moresby	5932	data\flag.jpg	17.10.2020 12:00:00
Paraguay	Asuncion	6831	data\flag.jpg	17.10.2020 12:00:00
Peru	Lima	29181	data\flag.jpg	17.10.2020 12:00:00
